Query,Block Cache (MiB),Parallelism,Total Job Memory (MiB),Events,Cores,Time (s),Throughput (K/s)
Q3,130,1,130,10000000,1.17,67.77,147.56
Q3,260,1,260,10000000,1.21,49.468,202.15
Q3,520,1,520,10000000,1.18,64.848,154.21
Q3,1040,1,1040,10000000,1.17,51.564,193.93
Q3,2080,1,2080,10000000,1.24,65.271,153.21
Q3,32.5,2,65,10000000,2.31,32.293,309.66
Q3,65,2,130,10000000,2.36,32.541,307.30
Q3,130,2,260,10000000,2.31,33.566,297.92
Q3,260,2,520,10000000,2.34,32.744,305.40
Q3,520,2,1040,10000000,2.63,25.149,397.63
Q3,32.5,4,130,10000000,4.65,20.031,499.23
Q3,65,4,260,10000000,4.49,19.742,506.53
Q3,130,4,520,10000000,4.63,17.336,576.83
Q3,260,4,1040,10000000,4.54,18.455,541.86
Q3,520,4,2080,10000000,4.44,19.31,517.87
Q8,130,1,130,10000000,1.36,64.236,155.68
Q8,260,1,260,10000000,1.36,61.094,163.68
Q8,520,1,520,10000000,1.38,61.481,162.65
Q8,1040,1,1040,10000000,1.16,60.949,164.07
Q8,2080,1,2080,10000000,1.37,62.834,159.15
Q8,32.5,2,65,10000000,2.65,33.786,295.98
Q8,65,2,130,10000000,2.75,33.999,294.13
Q8,130,2,260,10000000,2.05,35.128,284.67
Q8,260,2,520,10000000,2.27,30.907,323.55
Q8,520,2,1040,10000000,2.52,31.166,320.86
Q8,32.5,4,130,10000000,3.98,22.967,435.41
Q8,65,4,260,10000000,5.21,21.101,473.91
Q8,130,4,520,10000000,3.87,20.37,490.92
Q8,260,4,1040,10000000,4.08,20.064,498.41
Q8,520,4,2080,10000000,4.02,20.799,480.79
Q11,130,1,130,10000000,1.24,377.363,26.50
Q11,260,1,260,10000000,1.24,395.396,25.29
Q11,520,1,520,10000000,1.22,365.967,27.32
Q11,1040,1,1040,10000000,1.24,396.307,25.23
Q11,2080,1,2080,10000000,1.22,386.033,25.90
Q11,32.5,2,65,10000000,2.47,195.815,51.07
Q11,65,2,130,10000000,2.31,203.538,49.13
Q11,130,2,260,10000000,2.28,207.038,48.30
Q11,260,2,520,10000000,2.35,192.716,51.89
Q11,520,2,1040,10000000,2.41,199.582,50.10
Q11,32.5,4,130,10000000,4.45,128.808,77.63
Q11,65,4,260,10000000,4.38,126.955,78.77
Q11,130,4,520,10000000,4.45,120.806,82.78
Q11,260,4,1040,10000000,4.41,119.24,83.86
Q11,520,4,2080,10000000,4.43,123.268,81.12
Q19,130,1,130,10000000,1.28,389.704,25.66
Q19,260,1,260,10000000,1.34,354.629,28.20
Q19,520,1,520,10000000,1.51,299.928,33.34
Q19,1040,1,1040,10000000,1.48,314.942,31.75
Q19,2080,1,2080,10000000,1.55,295.198,33.88
Q19,32.5,2,65,10000000,2.24,215.425,46.42
Q19,65,2,130,10000000,2.2,219.091,45.64
Q19,130,2,260,10000000,2.51,172.399,58.00
Q19,260,2,520,10000000,2.56,165.947,60.26
Q19,520,2,1040,10000000,2.61,161.031,62.10
Q19,32.5,4,130,10000000,4.03,107.474,93.05
Q19,65,4,260,10000000,4.47,88.612,112.85
Q19,130,4,520,10000000,4.39,83.18,120.22
Q19,260,4,1040,10000000,4.92,76.163,131.30
Q19,520,4,2080,10000000,4.88,76.351,130.97
Q18,130,1,130,10000000,1.11,606.051,16.50
Q18,260,1,260,10000000,1.22,495.52,20.18
Q18,520,1,520,10000000,1.2,514.266,19.45
Q18,1040,1,1040,10000000,1.21,504.634,19.82
Q18,2080,1,2080,10000000,1.22,497.077,20.12
Q18,32.5,2,65,10000000,1.48,577.218,17.32
Q18,65,2,130,10000000,1.77,384.193,26.03
Q18,130,2,260,10000000,2.11,267.894,37.33
Q18,260,2,520,10000000,2.18,236.137,42.35
Q18,520,2,1040,10000000,2.2,231.422,43.21
Q18,32.5,4,130,10000000,2.99,219.304,45.60
Q18,65,4,260,10000000,3.48,151.548,65.99
Q18,130,4,520,10000000,4.18,111.498,89.69
Q18,260,4,1040,10000000,4.07,109.287,91.50
Q18,520,4,2080,10000000,4.02,112.859,88.61
Q7,130,1,130,10000000,0.7,3513.116,2.85
Q7,260,1,260,10000000,0.78,2452.329,4.08
Q7,520,1,520,10000000,0.93,1514.403,6.60
Q7,1040,1,1040,10000000,1.16,889.878,11.24
Q7,2080,1,2080,10000000,1.21,821.246,12.18
Q7,32.5,2,65,10000000,1.19,2088.505,4.79
Q7,65,2,130,10000000,1.21,1754.456,5.70
Q7,130,2,260,10000000,1.44,1128.794,8.86
Q7,260,2,520,10000000,1.74,650.265,15.38
Q7,520,2,1040,10000000,2.19,411.167,24.32
Q7,32.5,4,130,10000000,2.24,912.037,10.96
Q7,65,4,260,10000000,2.45,658.773,15.18
Q7,130,4,520,10000000,2.92,384.157,26.03
Q7,260,4,1040,10000000,4.05,184.404,54.23
Q7,520,4,2080,10000000,4.22,175.175,57.09
Q4,130,1,130,10000000,1.56,789.66,12.66
Q4,260,1,260,10000000,1.59,729.364,13.71
Q4,520,1,520,10000000,1.55,779.238,12.83
Q4,1040,1,1040,10000000,1.69,718.531,13.92
Q4,2080,1,2080,10000000,1.69,724.241,13.81
Q4,32.5,2,65,10000000,2.81,429.243,23.30
Q4,65,2,130,10000000,3.22,350.743,28.51
